image_id,path,class,width,height,channels,average_R,average_G,average_B,processing_method
CLAHE_train_normal_ (1).jpg,0_normal_CLAHE\CLAHE_train_normal_ (1).jpg,0_normal_CLAHE,615,531,3,132.98098081545788,101.98285486809671,87.55112152251466,CLAHE
CLAHE_train_normal_ (10).jpg,0_normal_CLAHE\CLAHE_train_normal_ (10).jpg,0_normal_CLAHE,633,531,3,137.48778869639983,107.30507582045858,92.52358809126422,CLAHE
CLAHE_train_normal_ (100).jpg,0_normal_CLAHE\CLAHE_train_normal_ (100).jpg,0_normal_CLAHE,633,532,3,139.6729739039542,116.12355236432313,96.40247538276972,CLAHE
CLAHE_train_normal_ (101).jpg,0_normal_CLAHE\CLAHE_train_normal_ (101).jpg,0_normal_CLAHE,633,532,3,147.9950171637625,110.62217748161873,93.45893465892219,CLAHE
CLAHE_train_normal_ (102).jpg,0_normal_CLAHE\CLAHE_train_normal_ (102).jpg,0_normal_CLAHE,633,532,3,122.09317725593606,97.2799861026975,83.77826378743066,CLAHE
CLAHE_train_normal_ (103).jpg,0_normal_CLAHE\CLAHE_train_normal_ (103).jpg,0_normal_CLAHE,627,548,3,160.50851581508516,108.35145345114611,76.99202551834131,CLAHE
CLAHE_train_normal_ (104).jpg,0_normal_CLAHE\CLAHE_train_normal_ (104).jpg,0_normal_CLAHE,633,532,3,138.98777453111452,110.58005202579909,95.4917893073917,CLAHE
CLAHE_train_normal_ (105).jpg,0_normal_CLAHE\CLAHE_train_normal_ (105).jpg,0_normal_CLAHE,633,531,3,145.22765475733587,111.96666993927818,93.12548680096275,CLAHE
CLAHE_train_normal_ (106).jpg,0_normal_CLAHE\CLAHE_train_normal_ (106).jpg,0_normal_CLAHE,633,532,3,130.6881599733932,105.70054579576905,93.04810010809013,CLAHE
CLAHE_train_normal_ (107).jpg,0_normal_CLAHE\CLAHE_train_normal_ (107).jpg,0_normal_CLAHE,633,531,3,117.17020257465273,92.20496365913668,77.8079304302294,CLAHE
CLAHE_train_normal_ (108).jpg,0_normal_CLAHE\CLAHE_train_normal_ (108).jpg,0_normal_CLAHE,633,531,3,138.24891185667153,108.67852839585508,91.02961415910247,CLAHE
CLAHE_train_normal_ (109).jpg,0_normal_CLAHE\CLAHE_train_normal_ (109).jpg,0_normal_CLAHE,633,531,3,107.14408415966774,89.70511092665483,75.65226122580127,CLAHE
CLAHE_train_normal_ (11).jpg,0_normal_CLAHE\CLAHE_train_normal_ (11).jpg,0_normal_CLAHE,633,531,3,118.10475629457073,94.86294302978374,80.91506383080004,CLAHE
CLAHE_train_normal_ (110).jpg,0_normal_CLAHE\CLAHE_train_normal_ (110).jpg,0_normal_CLAHE,633,532,3,135.33487450854625,108.87519153333571,94.50990331278433,CLAHE
CLAHE_train_normal_ (111).jpg,0_normal_CLAHE\CLAHE_train_normal_ (111).jpg,0_normal_CLAHE,633,532,3,136.80220100013065,105.53840763045054,91.92862487973488,CLAHE
CLAHE_train_normal_ (112).jpg,0_normal_CLAHE\CLAHE_train_normal_ (112).jpg,0_normal_CLAHE,633,532,3,121.8146343346518,93.08109432348644,80.11207224221691,CLAHE
CLAHE_train_normal_ (113).jpg,0_normal_CLAHE\CLAHE_train_normal_ (113).jpg,0_normal_CLAHE,633,532,3,144.07355770943948,111.50685956597655,96.49484196272672,CLAHE
CLAHE_train_normal_ (114).jpg,0_normal_CLAHE\CLAHE_train_normal_ (114).jpg,0_normal_CLAHE,633,532,3,131.9658476760622,113.90536471510529,96.75870957013386,CLAHE
CLAHE_train_normal_ (115).jpg,0_normal_CLAHE\CLAHE_train_normal_ (115).jpg,0_normal_CLAHE,633,530,3,118.5685176905422,95.5617663715759,77.40887358788638,CLAHE
CLAHE_train_normal_ (116).jpg,0_normal_CLAHE\CLAHE_train_normal_ (116).jpg,0_normal_CLAHE,633,532,3,109.31073239971968,90.71416693392248,79.25072159070662,CLAHE
