image_id,path,class,width,height,channels,average_R,average_G,average_B,processing_method
MULTISCALE_train_normal_ (1).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (1).jpg,0_normal_Multiscale,615,531,3,103.30895840031846,86.1452727634621,80.95942921011131,Multiscale
MULTISCALE_train_normal_ (10).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (10).jpg,0_normal_Multiscale,633,531,3,105.12294011418439,91.70016630816696,85.65808349919523,Multiscale
MULTISCALE_train_normal_ (100).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (100).jpg,0_normal_Multiscale,633,532,3,110.05037178253691,96.32875731983988,89.70971563981043,Multiscale
MULTISCALE_train_normal_ (101).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (101).jpg,0_normal_Multiscale,633,532,3,113.59922020691539,92.64472199455986,86.55452018672273,Multiscale
MULTISCALE_train_normal_ (102).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (102).jpg,0_normal_Multiscale,633,532,3,95.15162610317262,80.97147192626115,76.12385525424936,Multiscale
MULTISCALE_train_normal_ (103).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (103).jpg,0_normal_Multiscale,627,548,3,121.36102864992607,94.60247499970896,81.62772849509308,Multiscale
MULTISCALE_train_normal_ (104).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (104).jpg,0_normal_Multiscale,633,532,3,103.17695898514057,94.59831450664576,89.17026571167254,Multiscale
MULTISCALE_train_normal_ (105).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (105).jpg,0_normal_Multiscale,633,531,3,111.14907935487902,93.36220074199028,87.2662656230011,Multiscale
MULTISCALE_train_normal_ (106).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (106).jpg,0_normal_Multiscale,633,532,3,103.21226050909263,87.19440188148096,82.10248369739514,Multiscale
MULTISCALE_train_normal_ (107).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (107).jpg,0_normal_Multiscale,633,531,3,94.32436637778433,79.23925467760314,73.75862110001398,Multiscale
MULTISCALE_train_normal_ (108).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (108).jpg,0_normal_Multiscale,633,531,3,104.86417769685502,90.00204686974709,83.61872885818585,Multiscale
MULTISCALE_train_normal_ (109).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (109).jpg,0_normal_Multiscale,633,531,3,85.19231947828622,75.14087402528241,70.40403959264911,Multiscale
MULTISCALE_train_normal_ (11).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (11).jpg,0_normal_Multiscale,633,531,3,96.18430158007634,80.31444738979481,74.58379819292342,Multiscale
MULTISCALE_train_normal_ (110).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (110).jpg,0_normal_Multiscale,633,532,3,106.14413403176187,90.82839800924111,84.99926653125705,Multiscale
MULTISCALE_train_normal_ (111).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (111).jpg,0_normal_Multiscale,633,532,3,105.3415648125052,87.12798881088979,81.55437765028685,Multiscale
MULTISCALE_train_normal_ (112).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (112).jpg,0_normal_Multiscale,633,532,3,94.710398626899,79.94111166541947,75.41125622112152,Multiscale
MULTISCALE_train_normal_ (113).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (113).jpg,0_normal_Multiscale,633,532,3,110.38292710449109,91.79124648113174,86.29055458551592,Multiscale
MULTISCALE_train_normal_ (114).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (114).jpg,0_normal_Multiscale,633,532,3,105.12918255354025,93.51360035158987,87.00838589364406,Multiscale
MULTISCALE_train_normal_ (115).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (115).jpg,0_normal_Multiscale,633,530,3,95.06990372291276,82.94246922411995,76.48116486333423,Multiscale
MULTISCALE_train_normal_ (116).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (116).jpg,0_normal_Multiscale,633,532,3,89.41793464704415,76.29072681704261,71.84572509472734,Multiscale
MULTISCALE_train_normal_ (117).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (117).jpg,0_normal_Multiscale,633,531,3,88.07084608908049,77.83091308836349,72.92386120557057,Multiscale
MULTISCALE_train_normal_ (118).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (118).jpg,0_normal_Multiscale,633,532,3,107.7994304481583,89.87755823207307,84.00799688795448,Multiscale
MULTISCALE_train_normal_ (119).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (119).jpg,0_normal_Multiscale,633,532,3,92.34106296547054,80.0140754730428,74.75432954423975,Multiscale
MULTISCALE_train_normal_ (12).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (12).jpg,0_normal_Multiscale,633,532,3,108.46406894012281,90.43983774602383,84.87100749504091,Multiscale
MULTISCALE_train_normal_ (120).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (120).jpg,0_normal_Multiscale,633,531,3,88.72886413604543,76.30546555873892,72.18048750011157,Multiscale
MULTISCALE_train_normal_ (121).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (121).jpg,0_normal_Multiscale,633,532,3,108.3007132760812,93.51990164985925,87.41897397522241,Multiscale
MULTISCALE_train_normal_ (122).jpg,0_normal_Multiscale\MULTISCALE_train_normal_ (122).jpg,0_normal_Multiscale,633,531,3,94.86164588558356,79.7817644136224,74.23799918482223,Multiscale
