image_id,path,class,width,height,channels,average_R,average_G,average_B
train_normal_ (1).jpg,0_normal\train_normal_ (1).jpg,0_normal,615,531,3,137.63034617916801,87.53159401650514,69.06869076600371
train_normal_ (10).jpg,0_normal\train_normal_ (10).jpg,0_normal,633,531,3,141.79670537273557,96.65980013268953,74.47583771417011
train_normal_ (100).jpg,0_normal\train_normal_ (100).jpg,0_normal,633,532,3,144.54875043057882,106.39534262195774,80.40257040706031
train_normal_ (101).jpg,0_normal\train_normal_ (101).jpg,0_normal,633,532,3,155.41068013635984,99.27662461841808,75.80144080580598
train_normal_ (102).jpg,0_normal\train_normal_ (102).jpg,0_normal,633,532,3,119.79081590231503,79.52650286854578,61.595505351055365
train_normal_ (103).jpg,0_normal\train_normal_ (103).jpg,0_normal,627,548,3,171.7005087370051,95.41419865190514,47.4636520797681
train_normal_ (104).jpg,0_normal\train_normal_ (104).jpg,0_normal,633,532,3,143.53303578852345,98.93756013255889,78.91200750691895
train_normal_ (105).jpg,0_normal\train_normal_ (105).jpg,0_normal,633,531,3,153.3047842605237,98.95481416029251,74.6222037765937
train_normal_ (106).jpg,0_normal\train_normal_ (106).jpg,0_normal,633,532,3,131.98430020549003,89.64337680694628,71.50624487759684
train_normal_ (107).jpg,0_normal\train_normal_ (107).jpg,0_normal,633,531,3,113.60483215965584,76.90832820128345,57.271733859331256
train_normal_ (108).jpg,0_normal\train_normal_ (108).jpg,0_normal,633,531,3,139.6145696664614,94.67807618044584,71.68980998027507
train_normal_ (109).jpg,0_normal\train_normal_ (109).jpg,0_normal,633,531,3,95.87183560779833,68.47389794807258,50.92419739202613
train_normal_ (11).jpg,0_normal\train_normal_ (11).jpg,0_normal,633,531,3,117.83779449784751,79.5627523257855,59.520333330358234
train_normal_ (110).jpg,0_normal\train_normal_ (110).jpg,0_normal,633,532,3,145.08134673175832,94.17226122177482,72.77409756619036
train_normal_ (111).jpg,0_normal\train_normal_ (111).jpg,0_normal,633,532,3,137.5608838446828,88.87484707028234,70.17492487142026
train_normal_ (112).jpg,0_normal\train_normal_ (112).jpg,0_normal,633,532,3,121.74363634203993,77.59592108232667,60.48871586549312
train_normal_ (113).jpg,0_normal\train_normal_ (113).jpg,0_normal,633,532,3,153.18321871028283,95.37980021142904,73.83069640926962
train_normal_ (114).jpg,0_normal\train_normal_ (114).jpg,0_normal,633,532,3,141.11328380192185,100.50184109563007,75.54891375357826
train_normal_ (115).jpg,0_normal\train_normal_ (115).jpg,0_normal,633,530,3,119.56725088676265,87.56741184536051,64.25831470386599
train_normal_ (116).jpg,0_normal\train_normal_ (116).jpg,0_normal,633,532,3,105.14149116867999,69.8938519283992,55.043544881160244
train_normal_ (117).jpg,0_normal\train_normal_ (117).jpg,0_normal,633,531,3,101.95326115737394,74.466909434939,57.35234423112968
train_normal_ (118).jpg,0_normal\train_normal_ (118).jpg,0_normal,633,532,3,148.03887384337622,92.83122795139508,70.52775303186877
train_normal_ (119).jpg,0_normal\train_normal_ (119).jpg,0_normal,633,532,3,117.68483115371367,79.11185249854493,61.06783546544085
train_normal_ (12).jpg,0_normal\train_normal_ (12).jpg,0_normal,633,532,3,146.2657562151825,96.02883096366509,73.71766501561962
train_normal_ (120).jpg,0_normal\train_normal_ (120).jpg,0_normal,633,531,3,99.25630200849093,66.6224566602107,52.25108070557504
train_normal_ (121).jpg,0_normal\train_normal_ (121).jpg,0_normal,633,532,3,144.97860765658223,99.42005487652781,74.63832270249083
train_normal_ (122).jpg,0_normal\train_normal_ (122).jpg,0_normal,633,531,3,115.56177946763536,78.8524171211134,59.349898697798125
train_normal_ (123).jpg,0_normal\train_normal_ (123).jpg,0_normal,633,532,3,144.2332400907482,98.77696908147145,74.01896328498972
train_normal_ (124).jpg,0_normal\train_normal_ (124).jpg,0_normal,633,531,3,140.98072431818113,93.61641125421349,71.31440871347691
train_normal_ (125).jpg,0_normal\train_normal_ (125).jpg,0_normal,633,532,3,120.32424663554622,77.45389540201214,60.434008599698295
train_normal_ (126).jpg,0_normal\train_normal_ (126).jpg,0_normal,633,532,3,137.08826865742554,94.97239247407619,72.82338844742188
train_normal_ (127).jpg,0_normal\train_normal_ (127).jpg,0_normal,633,532,3,151.10991934813336,96.67506740785613,74.18674648707076
train_normal_ (128).jpg,0_normal\train_normal_ (128).jpg,0_normal,633,531,3,134.30195493911455,91.62594347902404,70.96649738339833
train_normal_ (129).jpg,0_normal\train_normal_ (129).jpg,0_normal,633,532,3,127.9073869507893,86.9354280250389,68.4091449001651
train_normal_ (13).jpg,0_normal\train_normal_ (13).jpg,0_normal,609,531,3,139.99302675807644,89.2102455632555,70.39554825761722
train_normal_ (130).jpg,0_normal\train_normal_ (130).jpg,0_normal,633,532,3,144.15716126809914,99.10325873926523,74.00930941096819
train_normal_ (131).jpg,0_normal\train_normal_ (131).jpg,0_normal,633,532,3,139.81537968143107,93.92455368278516,75.56186675218852
train_normal_ (132).jpg,0_normal\train_normal_ (132).jpg,0_normal,633,531,3,129.55649866269192,96.4478420102165,72.34866403072685
train_normal_ (133).jpg,0_normal\train_normal_ (133).jpg,0_normal,633,531,3,109.82774460539743,72.14037420825115,57.0691800323096
train_normal_ (134).jpg,0_normal\train_normal_ (134).jpg,0_normal,633,531,3,98.11670430169909,69.23057928198904,50.812003344013945
train_normal_ (135).jpg,0_normal\train_normal_ (135).jpg,0_normal,633,532,3,128.1704260651629,83.33464585634702,65.70759837983584
train_normal_ (136).jpg,0_normal\train_normal_ (136).jpg,0_normal,633,531,3,101.9083490269931,68.52320132808525,54.34121735198127
train_normal_ (137).jpg,0_normal\train_normal_ (137).jpg,0_normal,633,532,3,100.98938400503629,70.52814203755835,52.43621197543622
train_normal_ (138).jpg,0_normal\train_normal_ (138).jpg,0_normal,633,531,3,121.06146559444014,85.48335282024735,67.86382960999396
train_normal_ (139).jpg,0_normal\train_normal_ (139).jpg,0_normal,623,531,3,100.6086036522144,67.13487680351135,53.04905792698594
