image_id,path,class,width,height,channels,average_R,average_G,average_B,processing_method
RAYLEIGH_train_normal_ (1).jpg,0_normal_Rayleigh\RAYLEIGH_train_normal_ (1).jpg,0_normal_Rayleigh,615,531,3,122.27776399797897,120.03770765391269,119.86102307350757,Rayleigh
RAYLEIGH_train_normal_ (10).jpg,0_normal_Rayleigh\RAYLEIGH_train_normal_ (10).jpg,0_normal_Rayleigh,633,531,3,121.80500590557624,104.00531650615994,100.9224748083291,Rayleigh
RAYLEIGH_train_normal_ (100).jpg,0_normal_Rayleigh\RAYLEIGH_train_normal_ (100).jpg,0_normal_Rayleigh,633,532,3,120.73452588818017,114.19828896886767,110.39139911389849,Rayleigh
RAYLEIGH_train_normal_ (101).jpg,0_normal_Rayleigh\RAYLEIGH_train_normal_ (101).jpg,0_normal_Rayleigh,633,532,3,128.24104099110335,127.77149033721746,126.9860195512478,Rayleigh
RAYLEIGH_train_normal_ (102).jpg,0_normal_Rayleigh\RAYLEIGH_train_normal_ (102).jpg,0_normal_Rayleigh,633,532,3,122.93753340697715,98.46673258976826,97.07396156267446,Rayleigh
RAYLEIGH_train_normal_ (103).jpg,0_normal_Rayleigh\RAYLEIGH_train_normal_ (103).jpg,0_normal_Rayleigh,627,548,3,121.51796586689018,111.36529819904771,104.86852873723792,Rayleigh
RAYLEIGH_train_normal_ (104).jpg,0_normal_Rayleigh\RAYLEIGH_train_normal_ (104).jpg,0_normal_Rayleigh,633,532,3,121.87679506823932,95.31781764838637,92.6585272422763,Rayleigh
RAYLEIGH_train_normal_ (105).jpg,0_normal_Rayleigh\RAYLEIGH_train_normal_ (105).jpg,0_normal_Rayleigh,633,531,3,136.4145089743933,107.66059745985845,103.49362584530068,Rayleigh
RAYLEIGH_train_normal_ (106).jpg,0_normal_Rayleigh\RAYLEIGH_train_normal_ (106).jpg,0_normal_Rayleigh,633,532,3,117.81228248345984,115.54731021867465,114.31707824062526,Rayleigh
RAYLEIGH_train_normal_ (107).jpg,0_normal_Rayleigh\RAYLEIGH_train_normal_ (107).jpg,0_normal_Rayleigh,633,531,3,119.6751100043734,123.59720399972629,116.79612522796714,Rayleigh
RAYLEIGH_train_normal_ (108).jpg,0_normal_Rayleigh\RAYLEIGH_train_normal_ (108).jpg,0_normal_Rayleigh,633,531,3,130.33306557420943,92.832805252839,92.77865840778524,Rayleigh
RAYLEIGH_train_normal_ (109).jpg,0_normal_Rayleigh\RAYLEIGH_train_normal_ (109).jpg,0_normal_Rayleigh,633,531,3,131.09616717689656,109.00991601288814,103.01634223186156,Rayleigh
