image_id,path,class,width,height,channels,average_R,average_G,average_B
train_normal_ (1).jpg,0_normal\train_normal_ (1).jpg,0_normal,615,531,3,137.6303462,87.53159402,69.06869077
train_normal_ (10).jpg,0_normal\train_normal_ (10).jpg,0_normal,633,531,3,141.7967054,96.65980013,74.47583771
train_normal_ (100).jpg,0_normal\train_normal_ (100).jpg,0_normal,633,532,3,144.5487504,106.3953426,80.40257041
train_normal_ (101).jpg,0_normal\train_normal_ (101).jpg,0_normal,633,532,3,155.4106801,99.27662462,75.80144081
train_normal_ (102).jpg,0_normal\train_normal_ (102).jpg,0_normal,633,532,3,119.7908159,79.52650287,61.59550535
train_normal_ (103).jpg,0_normal\train_normal_ (103).jpg,0_normal,627,548,3,171.7005087,95.41419865,47.46365208
train_normal_ (104).jpg,0_normal\train_normal_ (104).jpg,0_normal,633,532,3,143.5330358,98.93756013,78.91200751
train_normal_ (105).jpg,0_normal\train_normal_ (105).jpg,0_normal,633,531,3,153.3047843,98.95481416,74.62220378
train_normal_ (106).jpg,0_normal\train_normal_ (106).jpg,0_normal,633,532,3,131.9843002,89.64337681,71.50624488
train_normal_ (107).jpg,0_normal\train_normal_ (107).jpg,0_normal,633,531,3,113.6048322,76.9083282,57.27173386
train_normal_ (108).jpg,0_normal\train_normal_ (108).jpg,0_normal,633,531,3,139.6145697,94.67807618,71.68980998
train_normal_ (109).jpg,0_normal\train_normal_ (109).jpg,0_normal,633,531,3,95.87183561,68.47389795,50.92419739
train_normal_ (11).jpg,0_normal\train_normal_ (11).jpg,0_normal,633,531,3,117.8377945,79.56275233,59.52033333
train_normal_ (110).jpg,0_normal\train_normal_ (110).jpg,0_normal,633,532,3,145.0813467,94.17226122,72.77409757
train_normal_ (111).jpg,0_normal\train_normal_ (111).jpg,0_normal,633,532,3,137.5608838,88.87484707,70.17492487
train_normal_ (112).jpg,0_normal\train_normal_ (112).jpg,0_normal,633,532,3,121.7436363,77.59592108,60.48871587
train_normal_ (113).jpg,0_normal\train_normal_ (113).jpg,0_normal,633,532,3,153.1832187,95.37980021,73.83069641
train_normal_ (114).jpg,0_normal\train_normal_ (114).jpg,0_normal,633,532,3,141.1132838,100.5018411,75.54891375
train_normal_ (115).jpg,0_normal\train_normal_ (115).jpg,0_normal,633,530,3,119.5672509,87.56741185,64.2583147
