,modelName,modelID,inputSize,optimizer,lrType,transferLearning,featureExtraction,fineTuning,augmentation,valAccuracy,valPrecision,valF1Score,testAccuracy,testPrecision,testF1Score,normal_recall_val,ulcerative_colitis_recall_val,polyps_recall_val,esophagitis_recall_val,normal_recall_test,ulcerative_colitis_recall_test,polyps_recall_test,esophagitis_recall_test
0,04_TransferLearningFeatureExtraction_ResNet50V2_RAYLEIGH,4,224,SGD,DYNAMIC,True,True,False,False,0.793333333,0.795497501,0.793262086,0.924166667,0.9232221,0.923253698,0.886666667,0.74,0.733333333,0.813333333,1.0,0.836666667,0.86,1.0
1,11_TransferLearningFeatureExtraction_ResNet50V2_NORMAL,11,224,SGD,DYNAMIC,True,True,False,True,0.841666667,0.84397877,0.839910847,0.891666667,0.891159446,0.891061463,0.933333333,0.7,0.846666667,0.886666667,0.986666667,0.846666667,0.823333333,0.91
2,04_TransferLearningFeatureExtraction_ResNet50V2_CLAHE,4,224,SGD,DYNAMIC,True,True,False,False,0.835,0.834657448,0.833947006,0.993333333,0.993344408,0.993337491,0.913333333,0.806666667,0.713333333,0.906666667,1.0,0.99,0.986666667,0.996666667
3,09_TransferLearningFineTuning_MobileNetV1_RAYLEIGH,9,224,SGD,DYNAMIC,True,False,True,False,0.978333333,0.97825415,0.978277481,0.914166667,0.913580887,0.913466491,1.0,0.96,0.953333333,1.0,1.0,0.856666667,0.8,1.0
4,03_TransferLearningFeatureExtraction_ResNet50V1_MULTISCALE,3,224,SGD,DYNAMIC,True,True,False,False,0.896666667,0.894865277,0.894576616,0.814166667,0.820914369,0.813692775,1.0,0.766666667,0.82,1.0,0.903333333,0.84,0.673333333,0.84
5,11_TransferLearningFineTuning_MobileNetV1_NORMAL,11,224,SGD,DYNAMIC,True,False,True,True,0.88,0.880336115,0.879586572,0.893333333,0.890944798,0.891511954,0.966666667,0.806666667,0.833333333,0.913333333,0.986666667,0.783333333,0.803333333,1.0
6,02_BaseModel2_RAYLEIGH,2,224,SGD,DYNAMIC,False,False,False,False,0.908333333,0.912640792,0.907323287,0.884166667,0.883011918,0.883237198,1.0,0.733333333,0.9,1.0,0.983333333,0.793333333,0.816666667,0.943333333
7,10_TransferLearningFineTuning_MobileNetV2_RAYLEIGH,10,224,SGD,DYNAMIC,True,False,True,False,0.99,0.990042674,0.989999556,0.870833333,0.870933898,0.870293196,1.0,0.986666667,0.973333333,1.0,0.963333333,0.84,0.753333333,0.926666667
8,07_TransferLearningFineTuning_ResNet50V1_MULTISCALE,7,224,SGD,DYNAMIC,True,False,True,False,0.928333333,0.928094344,0.92812006,0.915,0.91502491,0.914374056,1.0,0.846666667,0.866666667,1.0,1.0,0.866666667,0.793333333,1.0
9,08_TransferLearningFineTuning_ResNet50V2_CLAHE,8,224,SGD,DYNAMIC,True,False,True,False,0.973333333,0.974179253,0.973118064,0.924166667,0.923361284,0.923494606,1.0,0.986666667,0.906666667,1.0,1.0,0.84,0.856666667,1.0
10,01_BaseModel1_CLAHE_tunedAdamLrScheduler,1,100,ADAM,STATIC,False,False,False,False,0.901666667,0.900601579,0.90104691,0.936666667,0.936255916,0.936183657,1.0,0.813333333,0.793333333,1.0,1.0,0.9,0.846666667,1.0
11,02_BaseModel2_MULTISCALE,2,224,SGD,DYNAMIC,False,False,False,False,0.918333333,0.920849482,0.917744413,0.9175,0.917693103,0.9166112,1.0,0.78,0.893333333,1.0,1.0,0.883333333,0.786666667,1.0
12,02_BaseModel2_MULTISCALE_tunedAdamLrScheduler,2,224,ADAM,STATIC,False,False,False,False,0.931666667,0.930613208,0.931000947,0.923333333,0.922791732,0.922900786,1.0,0.873333333,0.853333333,1.0,0.98,0.863333333,0.886666667,0.963333333
